2023-05-29 14:11:10,598 ERROR [DBConnection] java.lang.NullPointerException
2023-05-29 14:11:16,700 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.lang.NullPointerException
2023-05-29 14:19:01,538 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:19:06,848 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:20:57,538 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:21:06,904 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:22:08,515 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:22:10,455 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : GSS-API authentication exception
2023-05-29 14:23:26,044 ERROR [DBConnection] java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=6) Unknown database 'tatabase'
2023-05-29 14:23:28,195 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=6) Unknown database 'tatabase'
2023-05-29 14:37:53,486 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=22) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:37:57,252 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=22) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:38:22,125 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=31) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:38:24,525 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=31) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:40:02,031 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=32) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:40:04,638 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=32) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:44:04,338 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=33) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 14:44:20,870 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=33) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 17:52:45,218 ERROR [DBConnection] java.sql.SQLNonTransientConnectionException: Could not connect to address=(host=localhost)(port=3306)(type=master) : Socket fail to connect to host:localhost, port:3306. Connection refused: no further information
2023-05-29 17:53:57,453 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLNonTransientConnectionException: Could not connect to address=(host=localhost)(port=3306)(type=master) : Socket fail to connect to host:localhost, port:3306. Connection refused: no further information
2023-05-29 17:56:18,697 ERROR [DBConnection] java.sql.SQLNonTransientConnectionException: Could not connect to address=(host=localhost)(port=3306)(type=master) : Socket fail to connect to host:localhost, port:3306. Connection refused: no further information
2023-05-29 17:56:22,694 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLNonTransientConnectionException: Could not connect to address=(host=localhost)(port=3306)(type=master) : Socket fail to connect to host:localhost, port:3306. Connection refused: no further information
2023-05-29 17:57:32,639 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=21) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 17:57:36,021 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=21) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 19:07:28,898 ERROR [DBConnection] java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=23) Unknown database 'tatabase'
2023-05-29 19:07:31,544 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=23) Unknown database 'tatabase'
2023-05-29 19:08:08,045 ERROR [DBConnection] java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=25) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 19:08:10,019 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLInvalidAuthorizationSpecException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=25) Access denied for user 'root'@'localhost' (using password: YES)
Current charset is UTF-8. If password has been set using other charset, consider using option 'passwordCharacterEncoding'
2023-05-29 19:13:24,395 ERROR [DBConnection] java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=27) Unknown database 'tatabase'
2023-05-29 19:13:35,448 ERROR [DBInstaller] com.ensah.dao.DataBaseException: java.sql.SQLSyntaxErrorException: Could not connect to address=(host=localhost)(port=3306)(type=master) : (conn=27) Unknown database 'tatabase'
2023-05-29 19:15:02,468 ERROR [DBInstaller] java.sql.SQLSyntaxErrorException: (conn=45) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'START TRANSACTION;
2023-05-29 21:03:51,286 ERROR [DBInstaller] java.sql.SQLSyntaxErrorException: (conn=51) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'BEGIN;
2023-05-29 21:08:48,286 ERROR [DBInstaller] java.sql.SQLSyntaxErrorException: (conn=53) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'START TRANSACTION;
2023-05-29 21:09:05,244 ERROR [DBInstaller] java.sql.SQLSyntaxErrorException: (conn=54) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'START TRANSACTION;
